#OLD_PFAM_ID	NEW_PFAM_ID
PF00065	PF02931
PF00099	
PF00138	PF00139
PF00192	PF00704
PF00222	PF00155
PF00247	PF00291
PF00256	PF00828
PF00259	PF01261
PF00279	PF00234
PF00315	
PF00369	PF00368
PF00371	PF00759
PF00409	PF00515
PF00417	PF07650
PF00422	PF00306
PF00442	PF00443
PF00461	PF00717
PF00470	PF02463
PF00492	PF00156
PF00495	PF00004
PF00546	PF00190
PF00592	PF00702
PF00597	PF06808
PF00655	PF00656
PF00663	PF00106
PF00671	
PF00678	PF00106
PF00744	PF01979
PF00774	PF00625
PF00776	
PF00783	
PF00785	PF00989
PF00824	PF00335
PF00826	PF00252
PF00896	PF01048
PF00911	PF00740
PF00914	PF00520
PF00966	PF01909
PF00968	
PF00987	PF00515
PF00991	PF01656
PF01009	PF00149
PF01013	PF00903
PF01038	PF00306
PF01045	PF00517
PF01046	
PF01069	PF00487
PF01072	PF00190
PF01089	PF03807
PF01100	PF01547
PF01143	PF00149
PF01162	
PF01164	PF01248
PF01173	PF01734
PF01178	PF01569
PF01181	
PF01188	PF13378
PF01211	PF07145
PF01224	PF01266
PF01236	PF00083
PF01240	PF00400
PF01260	
PF01305	PF00828
PF01317	PF03099
PF01319	PF00732
PF01332	PF00730
PF01334	PF00210
PF01354	
PF01360	PF01494
PF01362	PF00104
PF01377	PF03061
PF01438	PF00665
PF01444	
PF01449	PF01547
PF01460	PF00665
PF01461	
PF01482	PF05050
PF01489	PF00844
PF01495	PF02492
PF01511	PF01609
PF01550	PF00867
PF01572	PF00665
PF01574	PF00478
PF01587	PF00083
PF01598	PF04116
PF01604	PF01461
PF01605	
PF01615	PF00998
PF01622	PF01842
PF01626	PF00903
PF01631	PF00234
PF01647	PF03210
PF01651	PF01051
PF01662	PF03061
PF01675	PF01609
PF01685	PF01979
PF01689	PF01557
PF01703	PF00083
PF01711	PF01609
PF01714	PF01107
PF01720	PF00665
PF01727	PF00949
PF01748	
PF01760	PF00643
PF01772	PF00293
PF01792	
PF01800	PF03062
PF01811	PF01609
PF01836	PF00665
PF01838	PF01748
PF01854	
PF01859	PF01030
PF01860	PF03259
PF01879	PF01148
PF01892	PF04608
PF01897	PF01968
PF01898	PF00420
PF01908	PF09754
PF01911	PF01775
PF01919	PF05016
PF01932	
PF01942	PF01850
PF01945	
PF01952	PF02277
PF01953	PF05168
PF01961	PF00482
PF01962	PF01751
PF01971	PF00288
PF01999	PF01850
PF02000	PF01850
PF02003	PF01068
PF02004	PF01026
PF02032	PF01593
PF02034	PF00520
PF02039	PF00214
PF02047	PF00210
PF02051	PF00413
PF02054	PF00234
PF02062	
PF02094	PF00627
PF02103	PF01107
PF02105	PF00903
PF02111	PF03099
PF02125	
PF02131	
PF02134	PF10585
PF02139	PF02883
PF02143	
PF02147	PF00753
PF02164	PF00520
PF02168	PF01284
PF02193	PF02231
PF02215	PF01565
PF02220	PF00704
PF02227	PF00149
PF02231	PF02811
PF02235	PF00554
PF02242	PF01336
PF02243	PF01336
PF02266	PF00657
PF02279	PF02201
PF02280	PF01336
PF02292	PF04383
PF02299	
PF02307	PF02765
PF02314	PF01909
PF02328	PF01569
PF02339	
PF02345	PF00093
PF02356	PF01697
PF02360	PF00294
PF02379	PF02302
PF02385	
PF02396	PF01118
PF02400	PF01537
PF02409	PF04072
PF02418	PF00884
PF02473	
PF02483	PF02463
PF02490	PF00155
PF02506	PF02384
PF02523	PF09059
PF02528	PF02539
PF02539	PF03099
PF02546	
PF02549	PF00149
PF02555	PF00258
PF02564	PF01192
PF02573	PF00126
PF02584	PF03061
PF02587	
PF02612	PF01979
PF02619	PF03992
PF02640	PF00149
PF02642	PF02621
PF02644	
PF02647	PF09827
PF02648	PF01850
PF02651	PF03065
PF02658	PF00190
PF02688	
PF02692	PF03572
PF02693	PF01263
PF02695	PF01748
PF02708	
PF02712	
PF02715	
PF02716	PF05368
PF02717	PF06225
PF02726	PF02274
PF02766	PF02765
PF02795	PF01681
PF02802	PF01979
PF02804	PF00545
PF02808	PF00190
PF02835	
PF02842	PF01071
PF02846	
PF02848	
PF02849	
PF02850	
PF02851	
PF02853	
PF02855	
PF02856	
PF02857	
PF02858	
PF02859	
PF02860	
PF02869	PF00467
PF02871	PF01210
PF02904	PF00633
PF02908	PF00149
PF02930	PF02929
PF02967	PF01127
PF02968	
PF02997	
PF03001	PF00173
PF03005	PF13839
PF03019	PF05744
PF03027	PF06585
PF03046	PF01323
PF03056	PF00517
PF03075	PF01637
PF03093	
PF03111	
PF03132	PF03137
PF03138	PF10250
PF03149	PF01145
PF03156	
PF03163	
PF03164	
PF03182	PF00149
PF03191	PF04156
PF03204	PF00515
PF03218	PF01284
PF03236	PF01579
PF03240	
PF03267	PF02485
PF03282	PF03432
PF03316	
PF03322	PF02668
PF03329	PF01423
PF03346	PF01298
PF03365	PF02985
PF03375	PF01748
PF03490	PF00388
PF03499	PF03498
PF03518	PF04888
PF03541	PF02985
PF03560	
PF03565	PF04389
PF03570	
PF03582	PF04541
PF03593	PF04969
PF03624	
PF03651	PF05916
PF03654	PF03364
PF03655	PF01850
PF03667	PF03981
PF03674	PF06094
PF03675	PF09685
PF03679	
PF03680	PF06677
PF03681	PF15919
PF03696	PF00515
PF03697	PF01547
PF03751	
PF03757	PF03787
PF03758	PF08450
PF03774	PF01243
PF03794	PF01814
PF03809	PF01261
PF03844	PF04055
PF03877	
PF03890	PF05016
PF03897	PF04116
PF03926	PF10263
PF03933	PF01471
PF03986	PF03987
PF04035	PF06093
PF04036	PF04038
PF04040	PF02424
PF04044	PF03177
PF04047	PF04003
PF04058	PF04042
PF04067	PF04032
PF04094	
PF04105	
PF04125	PF03061
PF04128	PF05916
PF04132	PF04157
PF04141	PF00515
PF04150	PF02985
PF04154	PF02985
PF04156	
PF04164	
PF04169	PF04174
PF04171	PF07786
PF04215	PF03611
PF04243	PF01746
PF04249	PF01934
PF04251	
PF04271	PF07261
PF04274	PF01791
PF04291	
PF04292	
PF04302	PF09375
PF04323	PF05425
PF04329	PF09924
PF04330	PF09924
PF04331	PF09924
PF04372	PF01928
PF04373	PF05066
PF04374	PF04375
PF04396	PF01936
PF04401	PF07264
PF04416	PF08617
PF04429	PF03787
PF04436	PF01468
PF04460	PF00515
PF04462	PF09704
PF04469	
PF04470	
PF04477	PF00311
PF04482	PF01947
PF04524	PF04717
PF04543	PF01878
PF04581	PF01985
PF04585	PF04335
PF04590	PF03567
PF04594	PF02985
PF04600	PF08817
PF04605	PF09827
PF04635	PF04430
PF04638	PF04497
PF04653	PF03399
PF04737	PF04738
PF04742	PF04737
PF04743	PF04533
PF04779	PF00443
PF04804	PF00803
PF04853	PF12899
PF04861	PF02957
PF04897	PF00310
PF04903	PF07140
PF04907	PF04893
PF04915	PF04914
PF04918	PF04914
PF04933	
PF04944	PF04237
PF04946	PF03795
PF04953	PF06857
PF04974	PF01917
PF04975	PF01917
PF04980	
PF05012	PF02661
PF05027	PF02985
PF05040	PF03567
PF05070	
PF05074	PF02985
PF05126	PF05133
PF05143	PF03364
PF05146	
PF05156	PF03876
PF05169	PF10262
PF05174	
PF05200	PF01488
PF05237	PF00899
PF05243	PF04242
PF05245	PF05101
PF05249	PF01062
PF05252	PF01794
PF05260	PF06293
PF05286	PF04352
PF05312	PF03070
PF05319	PF01896
PF05329	PF00436
PF05330	
PF05333	PF05405
PF05371	PF05356
PF05376	PF01478
PF05429	PF01551
PF05441	PF05840
PF05442	PF05840
PF05446	PF00913
PF05447	PF02915
PF05457	
PF05468	PF03899
PF05469	
PF05471	PF06365
PF05487	
PF05490	
PF05492	PF04410
PF05500	PF05147
PF05516	PF04669
PF05519	PF00008
PF05530	
PF05574	
PF05581	PF02743
PF05583	
PF05601	PF01908
PF05607	PF04156
PF05646	PF07019
PF05654	PF02338
PF05664	PF06292
PF05665	PF11209
PF05668	PF02985
PF05682	PF00723
PF05723	
PF05740	PF02123
PF05747	PF06225
PF05759	PF06225
PF05765	PF04523
PF05779	PF03692
PF05780	PF02723
PF05799	PF02937
PF05807	PF04200
PF05809	PF01956
PF05828	PF00537
PF05850	
PF05855	PF07922
PF05863	PF01956
PF05877	
PF05882	PF05347
PF05885	PF00246
PF05888	PF02123
PF05897	PF05834
PF05898	PF01088
PF05900	PF04541
PF05905	PF01856
PF05909	PF08711
PF05921	PF03061
PF05945	PF01243
PF05948	PF00636
PF05967	PF03798
PF05976	PF04632
PF05998	PF04316
PF06000	PF00936
PF06010	PF08214
PF06036	PF00515
PF06038	PF05899
PF06063	PF05437
PF06065	PF00008
PF06077	PF04103
PF06091	PF06999
PF06095	
PF06104	PF03734
PF06111	PF01636
PF06117	
PF06118	PF05942
PF06132	PF00936
PF06137	PF04538
PF06142	PF03928
PF06158	
PF06164	PF04266
PF06171	PF04266
PF06190	
PF06192	PF02613
PF06204	PF06165
PF06205	PF06165
PF06225	PF06227
PF06238	PF05289
PF06263	PF00549
PF06264	PF05521
PF06272	PF03399
PF06274	PF04984
PF06285	PF07190
PF06302	PF06225
PF06310	PF06327
PF06318	PF01107
PF06329	PF02100
PF06332	PF00680
PF06343	PF00548
PF06349	PF00680
PF06352	PF08713
PF06354	PF03313
PF06359	PF06013
PF06383	PF00004
PF06402	PF06268
PF06408	PF03435
PF06410	
PF06425	PF04128
PF06447	PF03743
PF06492	PF00515
PF06494	PF04092
PF06498	PF00515
PF06499	PF07978
PF06509	PF01435
PF06520	PF05708
PF06538	PF07707
PF06539	PF01027
PF06548	
PF06555	PF02589
PF06561	PF01124
PF06562	PF02502
PF06571	PF04343
PF06582	PF07679
PF06604	PF02974
PF06606	PF05733
PF06641	PF03210
PF06642	
PF06647	PF05258
PF06654	
PF06655	
PF06659	
PF06660	PF07691
PF06665	
PF06669	PF05662
PF06700	PF02775
PF06704	PF05932
PF06709	
PF06710	PF08369
PF06731	PF05433
PF06735	PF01190
PF06759	PF06759
PF06765	PF03567
PF06768	PF07686
PF06774	PF01385
PF06801	PF02977
PF06811	
PF06828	PF04991
PF06829	PF01557
PF06843	PF02036
PF06845	PF04962
PF06846	PF01637
PF06860	PF04740
PF06867	PF02775
PF06879	PF01579
PF06885	PF02985
PF06893	PF05954
PF06895	PF10779
PF06909	PF06193
PF06913	PF06013
PF06914	PF06147
PF06915	PF05617
PF06921	PF04956
PF06927	PF02985
PF06928	PF02985
PF06930	PF04893
PF06944	PF05916
PF06948	PF02635
PF06960	PF01261
PF06976	
PF06981	
PF06982	PF00890
PF06987	PF11099
PF06997	PF05709
PF07003	PF05043
PF07008	PF07145
PF07018	PF09059
PF07025	PF04965
PF07031	PF04386
PF07036	PF03423
PF07049	PF05099
PF07050	PF06133
PF07053	PF03350
PF07060	PF04266
PF07089	PF05170
PF07113	PF01521
PF07115	PF10934
PF07121	PF00515
PF07132	PF04877
PF07135	PF03502
PF07144	PF05473
PF07164	PF00700
PF07169	PF05279
PF07170	PF04203
PF07186	PF00795
PF07211	PF07352
PF07241	PF07873
PF07251	PF01145
PF07257	PF00489
PF07266	
PF07269	PF08139
PF07300	PF04120
PF07320	PF03168
PF07329	PF05932
PF07339	
PF07360	PF05133
PF07375	PF05310
PF07414	PF01408
PF07427	PF03168
PF07446	PF01963
PF07480	PF07813
PF07493	PF04000
PF07512	PF07751
PF07513	PF06834
PF07518	PF01129
PF07551	
PF07567	PF02892
PF07570	PF04466
PF07582	PF01261
PF07594	
PF07597	
PF07601	
PF07604	
PF07605	PF01797
PF07612	
PF07616	
PF07620	
PF07623	
PF07625	
PF07629	
PF07630	
PF07633	
PF07640	
PF07641	
PF07644	
PF07649	PF03107
PF07656	
PF07658	PF01061
PF07665	
PF07673	
PF07674	PF01420
PF07770	PF04178
PF07772	PF04883
PF07783	PF04472
PF07805	
PF07838	PF00166
PF07844	PF04667
PF07871	
PF07908	PF07969
PF07917	PF02328
PF07932	PF07930
PF08060	PF01798
PF08128	PF03047
PF08160	PF06807
PF08162	PF04003
PF08185	
PF08215	PF09811
PF08217	
PF08233	PF09462
PF08296	PF04032
PF08304	PF09511
PF08319	PF05827
PF08322	PF05460
PF08330	
PF08342	
PF08371	
PF08380	PF03210
PF08382	PF06808
PF08413	
PF08415	PF00668
PF08419	PF00910
PF08420	PF02793
PF08422	PF00645
PF08425	PF01058
PF08431	PF07691
PF08483	PF01695
PF08554	PF07823
PF08556	PF04628
PF08575	PF05347
PF08582	
PF08607	PF09302
PF08697	PF07842
PF08739	PF06687
PF08749	PF10722
PF08754	PF02635
PF08791	PF00517
PF08802	
PF08834	
PF08836	
PF08851	PF10722
PF08871	PF04230
PF08927	PF04419
PF08932	PF08931
PF08957	PF08951
PF08959	PF04969
PF08981	PF02887
PF09024	PF00659
PF09031	PF08236
PF09054	PF06745
PF09091	PF03221
PF09120	PF09289
PF09146	PF00451
PF09161	PF05536
PF09219	PF01172
PF09283	PF02765
PF09315	PF08434
PF09319	PF04200
PF09352	
PF09389	PF08702
PF09395	PF08702
PF09410	PF07143
PF09417	PF03874
PF09433	PF11957
PF09434	PF02732
PF09464	PF00240
PF09473	PF02120
PF09503	PF08700
PF09513	PF09414
PF09525	PF09392
PF09530	PF09455
PF09540	PF06841
PF09541	PF03013
PF09542	PF09532
PF09555	PF06686
PF09576	PF02937
PF09616	
PF09647	PF06013
PF09653	PF06146
PF09672	PF05545
PF09705	PF09704
PF09708	PF09704
PF09714	PF06381
PF09760	PF09742
PF09761	PF08217
PF09780	PF08583
PF09800	PF06747
PF09833	PF05751
PF09841	PF09900
PF09854	
PF09896	PF09721
PF09901	PF02229
PF09908	PF05973
PF09914	PF06930
PF09915	PF09341
PF09927	PF04390
PF09934	PF01503
PF09942	PF06445
PF09944	PF08843
PF09975	PF04250
PF09978	PF06381
PF09993	PF02452
PF10010	
PF10019	PF07786
PF10024	PF08592
PF10059	PF04463
PF10064	
PF10068	PF05128
PF10072	PF07332
PF10085	PF03734
PF10089	PF10276
PF10121	PF04609
PF10132	PF06199
PF10194	PF10277
PF10196	PF01632
PF10201	PF08293
PF10202	PF00338
PF10207	PF10256
PF10219	PF04756
PF10227	PF10033
PF10286	PF06687
PF10289	PF10342
PF10299	PF10277
PF10301	PF02431
PF10308	PF09769
PF10314	PF10233
PF10331	
PF10349	PF02893
PF10352	PF07665
PF10362	
PF10381	PF03987
PF10389	PF05356
PF10402	PF09294
PF10424	
PF10449	PF10448
PF10478	PF08568
PF10485	
PF10489	
PF10499	PF02466
PF10519	PF04082
PF10526	PF06522
PF10527	
PF10535	
PF10540	PF06292
PF10556	PF09240
PF10560	PF05347
PF10569	PF07678
PF10575	PF00484
PF10582	PF00029
PF10586	PF00400
PF10594	PF00400
PF10603	PF00625
PF10619	PF05135
PF10632	PF05345
PF10641	PF01660
PF10663	PF06013
PF10687	PF06146
PF10695	
PF10700	PF01284
PF10701	PF11366
PF10760	PF06891
PF10770	PF10722
PF10773	PF05437
PF10822	PF10076
PF10837	
PF10848	
PF10855	
PF10885	
PF10889	PF03334
PF10900	PF10824
PF10914	PF05241
PF10919	
PF11048	PF04984
PF11063	PF06067
PF11096	PF04103
PF11147	PF07916
PF11156	PF11345
PF11194	
PF11206	
PF11234	PF11188
PF11257	PF03203
PF11323	
PF11366	PF10947
PF11370	
PF11400	PF01192
PF11425	PF09146
PF11451	PF01423
PF11481	PF00561
PF11484	PF10690
PF11499	PF05400
PF11509	PF10341
PF11541	PF05339
PF11552	PF06124
PF11562	PF12701
PF11613	PF00473
PF11643	
PF11664	
PF11689	
PF11908	PF11977
PF11930	
PF11936	
PF12003	PF01825
PF12035	
PF12050	PF10387
PF12082	
PF12184	
PF12272	PF12259
PF12303	
PF12332	
PF12370	
PF12405	
PF12427	
PF12492	
PF12504	PF12481
PF12649	PF02793
PF12665	
PF12711	
PF12748	PF10342
PF12858	PF09631
PF12865	
PF12880	PF12851
PF12882	PF12881
PF12908	
PF12909	PF12910
PF13003	PF00687
PF13014	PF00013
PF13147	PF01979
PF13172	PF03929
PF13235	
PF13260	
PF13278	PF01965
PF13345	PF10988
PF13348	PF13350
PF13357	PF10373
PF13461	PF06458
PF13504	
PF13544	PF07963
PF13587	PF01965
PF13594	PF00449
PF13615	PF09739
PF13626	
PF13633	PF07963
PF13658	PF13919
PF13659	
PF13666	
PF13703	PF03929
PF13706	PF03929
PF13745	PF00668
PF13760	PF13718
PF13766	PF00378
PF13792	PF00916
PF13818	
PF13819	
PF13849	PF06602
PF13900	
PF13950	
PF13951	
PF14095	
PF14170	PF10358
PF14180	PF14429
PF14211	
PF14212	
PF14227	PF14223
PF14241	PF04143
PF14259	PF00076
PF14405	PF12559
PF14482	PF08559
PF14483	PF08559
PF14546	
PF14548	
PF14640	PF06979
PF14708	PF13919
PF14878	
PF14971	PF14970
PF15026	
PF15178	PF10642
PF15197	
PF15263	
PF15381	
PF15408	PF00169
PF15422	
PF15577	PF18210
PF15614	PF15613
PF15850	
PF15853	
PF15857	
PF15896	
PF15900	
PF15945	
PF15954	
PF15986	PF00378
PF15987	PF00378
PF15988	PF15986
PF16052	PF01576
PF16194	PF13641
PF16196	
PF16333	PF07940
PF16336	PF07971
PF16337	PF16220
PF16340	PF16220
PF16345	PF07940
PF16354	
PF16382	PF00480
PF16388	PF07610
PF16393	PF14274
PF16603	PF12881
PF16604	PF12881
PF16651	
PF16659	PF16659
PF16948	PF07804
PF16950	
PF17143	PF16411
PF17348	PF05251
PF17350	PF19094
PF17543	PF05947
PF17559	
PF18123	
PF18302	
PF18605	PF08990
PF19210	PF01600